STN,WBAN,YEAR,TEMP,STP,PRCP,ANOPHELES
637290,99999,20150105,74.1,886.3,0.00I,2.816901408
637290,99999,20150106,72.9,887.2,0.00I,2.816901409
637290,99999,20150107,69.2,887.9,0.00I,2.816901410
637290,99999,20150108,73.4,887.7,0.00I,2.816901411
637290,99999,20150109,72.1,887.9,0.00I,2.816901412
637290,99999,20150110,70,887.8,0.00I,2.816901413
637290,99999,20150111,71.6,887.5,0.00I,2.816901414
637290,99999,20150113,71.6,887.5,0.00I,2.816901415
637290,99999,20150114,72.9,886.4,0.00I,2.816901416
637290,99999,20150115,77.2,886.1,0.00I,2.816901417
637290,99999,20150117,74.5,886,0.00I,2.816901418
637290,99999,20150118,77.8,886.7,0.00I,2.816901419
637290,99999,20150119,74.2,886.9,0.00I,2.816901420
637290,99999,20150120,71,887.4,0.00I,2.816901421
637290,99999,20150121,70,888.1,0.12E,2.816901422
637290,99999,20150122,72.7,887.3,0.39A,2.816901423
637290,99999,20150123,73.9,886.5,0.00I,2.816901424
637290,99999,20150124,71.8,886.2,0.12G,2.816901425
637290,99999,20150125,70.4,886.6,0.16G,2.816901426
637290,99999,20150126,72.4,887.7,0.28G,2.816901427
637290,99999,20150127,72,886.3,0.00G,2.816901428
637290,99999,20150128,75.2,885.1,0.00I,2.816901429
637290,99999,20150129,74.1,885.2,0.00I,2.816901430
637290,99999,20150130,71.7,887.6,1.26E,2.816901431
637290,99999,20150131,72.7,887.6,0.00I,2.816901432
637290,99999,20150201,75,886.5,0.00I,2.816901433
637290,99999,20150202,72.8,885.4,0.00E,2.816901434
637290,99999,20150203,75.1,885.9,0.00I,2.816901435
637290,99999,20150204,71.9,886.5,0.00I,2.816901436
637290,99999,20150205,74.6,886.7,0.00G,2.816901437
637290,99999,20150206,76.2,886.2,0.00I,2.816901438
637290,99999,20150207,73.7,885.5,0.00I,2.816901439
637290,99999,20150208,76,885.7,0.00I,2.816901440
637290,99999,20150209,74.9,885.4,0.00I,2.816901441
637290,99999,20150210,74.4,886,1.42F,2.816901442
637290,99999,20150211,74,887.9,0.03G,2.816901443
637290,99999,20150212,73.3,887,0.00G,2.816901444
637290,99999,20150213,74.8,886,0.00I,2.816901445
637290,99999,20150214,76.1,886.4,0.00I,2.816901446
637290,99999,20150215,73.6,888.8,0.00I,2.816901447
637290,99999,20150216,71.3,887.8,0.00I,2.816901448
637290,99999,20150217,71.6,888,0.16E,2.816901449
637290,99999,20150218,71.7,886.7,0.00A,2.816901450
637290,99999,20150219,76.2,885.2,0.00I,2.816901451
637290,99999,20150220,71.6,885,0.51G,2.816901452
637290,99999,20150221,71.3,885.2,0.67G,2.816901453
637290,99999,20150222,72.5,885.5,0.12G,2.816901454
637290,99999,20150223,69.6,886.4,0.00G,2.816901455
637290,99999,20150224,72.6,886.6,0.51G,2.816901456
637290,99999,20150225,70.9,885.8,0.00G,2.816901457
637290,99999,20150226,70.8,886,0.16G,2.816901458
637290,99999,20150227,74.4,885.2,0.00G,2.816901459
637290,99999,20150228,70.2,885.4,0.79G,2.816901460
637290,99999,20150301,72.1,886,0.16G,2.816901461
637290,99999,20150302,73.1,885.8,0.00G,2.816901462
637290,99999,20150303,73,886.1,0.00I,2.816901463
637290,99999,20150304,72.2,886.8,0.12A,2.816901464
637290,99999,20150305,72.8,887,1.18G,2.816901465
637290,99999,20150306,70.4,887.2,0.00G,2.816901466
637290,99999,20150307,72.4,885.5,0.63G,2.816901467
637290,99999,20150308,70.1,886.5,0.04G,2.816901468
637290,99999,20150309,75.3,885.7,0.01G,2.816901469
637290,99999,20150310,73.9,885.6,0.00G,2.816901470
637290,99999,20150311,75.4,885.9,0.00I,2.816901471
637290,99999,20150312,75,886.3,0.00I,2.816901472
637290,99999,20150313,72.4,885,0.00I,2.816901473
637290,99999,20150314,74.8,885.6,0.12A,2.816901474
637290,99999,20150315,75.6,885,0.00I,2.816901475
637290,99999,20150316,77.3,886,0.00I,2.816901476
637290,99999,20150317,76.9,885,0.00I,2.816901477
637290,99999,20150318,76.7,884.5,0.00I,2.816901478
637290,99999,20150319,76.8,884.1,0.00I,2.816901479
637290,99999,20150320,76.4,885.1,0.47G,2.816901480
637290,99999,20150321,76.4,885.2,0.00G,2.816901481
637290,99999,20150322,72.6,885.8,0.01G,2.816901482
637290,99999,20150323,71.3,885.5,0.16G,2.816901483
637290,99999,20150324,69.2,887.3,0.91G,2.816901484
637290,99999,20150325,68.9,887.5,0.08G,2.816901485
637290,99999,20150326,72,887.4,0.24G,2.816901486
637290,99999,20150327,72.4,886.7,0.55G,2.816901487
637290,99999,20150328,71.6,886.8,0.24G,2.816901488
637290,99999,20150329,67.9,888,1.10G,2.816901489
637290,99999,20150330,67.3,888.2,0.55G,2.816901490
637290,99999,20150331,66.5,888.2,0.67G,2.816901491
637290,99999,20150401,70.6,888.9,0.43G,2.816901492
637290,99999,20150402,71.9,886.1,0.16G,2.816901493
637290,99999,20150403,70.4,885.5,0.00G,2.816901494
637290,99999,20150404,68.7,887.1,0.39G,2.816901495
637290,99999,20150405,71.1,887,0.24G,2.816901496
637290,99999,20150406,74,887.3,0.00G,2.816901497
637290,99999,20150407,71.5,887.8,0.00G,2.816901498
637290,99999,20150429,73.3,886.9,0.00I,2.816901499
637290,99999,20150430,69.8,887.8,0.04G,2.816901500
637290,99999,20150501,70.1,887.2,0.35G,2.816901501
637290,99999,20150502,70.3,887.9,0.87G,2.816901502
637290,99999,20150503,71.7,887.3,0.63G,2.816901503
637290,99999,20150504,71.3,887.8,0.01G,2.816901504
637290,99999,20150505,73.4,887.3,0.24G,2.816901505
637290,99999,20150506,71.9,887,0.55G,2.816901506
637290,99999,20150507,71.6,888.7,0.08G,2.816901507
637290,99999,20150508,69.3,890.1,0.02G,2.816901508
637290,99999,20150509,67.7,888.7,0.16G,2.816901509
637290,99999,20150510,69.3,888.5,3.74G,2.816901510
637290,99999,20150511,72.4,888.2,0.00G,2.816901511
637290,99999,20150512,71.5,889.3,0.35G,2.816901512
637290,99999,20150513,72,889,0.16G,2.816901513
637290,99999,20150514,72.5,888.1,0.00G,2.816901514
637290,99999,20150515,72.8,888.1,0.00I,2.816901515
637290,99999,20150516,72,888.3,1.93G,2.816901516
